Apr. 22, 2023   20:39:37
Amperometric i-t Curve
File: c:\users\user\desktop\20230422\20230422_mcdi_run1_12v_10min_charge.txt
Data Source:  Experiment
Instrument Model:  CHI6273E
4-electrode
Header: 
Note: 

Init E (V) = 1.2
Sample Interval (s) = 1
Run Time (sec) = 600
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.1


Time/sec, Current/A

5.840e+2, -5.747e-3
5.850e+2, -5.724e-3
5.860e+2, -5.709e-3
5.870e+2, -5.693e-3
5.880e+2, -5.677e-3
5.890e+2, -5.658e-3
5.900e+2, -5.641e-3
5.910e+2, -5.626e-3
5.920e+2, -5.610e-3
5.930e+2, -5.596e-3
5.940e+2, -5.575e-3
5.950e+2, -5.561e-3
5.960e+2, -5.545e-3
5.970e+2, -5.533e-3
5.980e+2, -5.514e-3
5.990e+2, -5.500e-3
6.000e+2, -5.484e-3
