Apr. 22, 2023   20:49:41
Amperometric i-t Curve
File: c:\users\user\desktop\20230422\20230422_mcdi_run1_12v_10min_discharge.txt
Data Source:  Experiment
Instrument Model:  CHI6273E
4-electrode
Header: 
Note: 

Init E (V) = 0
Sample Interval (s) = 1
Run Time (sec) = 600
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.1


Time/sec, Current/A

4.580e+2, 1.050e-3
4.590e+2, 1.047e-3
4.600e+2, 1.042e-3
4.610e+2, 1.038e-3
4.620e+2, 1.037e-3
4.630e+2, 1.034e-3
4.640e+2, 1.028e-3
4.650e+2, 1.024e-3
4.660e+2, 1.023e-3
4.670e+2, 1.019e-3
4.680e+2, 1.016e-3
4.690e+2, 1.009e-3
4.700e+2, 1.007e-3
4.710e+2, 1.004e-3
4.720e+2, 1.000e-3
4.730e+2, 9.961e-4
4.740e+2, 9.932e-4
4.750e+2, 9.909e-4
4.760e+2, 9.881e-4
4.770e+2, 9.843e-4
4.780e+2, 9.794e-4
4.790e+2, 9.775e-4
4.800e+2, 9.747e-4
4.810e+2, 9.718e-4
4.820e+2, 9.666e-4
4.830e+2, 9.650e-4
4.840e+2, 9.621e-4
4.850e+2, 9.597e-4
4.860e+2, 9.541e-4
4.870e+2, 9.503e-4
4.880e+2, 9.478e-4
4.890e+2, 9.472e-4
4.900e+2, 9.435e-4
4.910e+2, 9.394e-4
4.920e+2, 9.361e-4
4.930e+2, 9.343e-4
4.940e+2, 9.311e-4
4.950e+2, 9.257e-4
4.960e+2, 9.229e-4
4.970e+2, 9.204e-4
4.980e+2, 9.177e-4
4.990e+2, 9.136e-4
5.000e+2, 9.110e-4
5.010e+2, 9.086e-4
5.020e+2, 9.059e-4
5.030e+2, 9.028e-4
5.040e+2, 8.978e-4
5.050e+2, 8.956e-4
5.060e+2, 8.938e-4
5.070e+2, 8.904e-4
5.080e+2, 8.853e-4
5.090e+2, 8.837e-4
5.100e+2, 8.812e-4
5.110e+2, 8.793e-4
5.120e+2, 8.752e-4
5.130e+2, 8.721e-4
5.140e+2, 8.702e-4
5.150e+2, 8.682e-4
5.160e+2, 8.653e-4
5.170e+2, 8.608e-4
5.180e+2, 8.592e-4
5.190e+2, 8.570e-4
5.200e+2, 8.535e-4
5.210e+2, 8.493e-4
5.220e+2, 8.474e-4
5.230e+2, 8.461e-4
5.240e+2, 8.444e-4
5.250e+2, 8.399e-4
5.260e+2, 8.367e-4
5.270e+2, 8.354e-4
5.280e+2, 8.329e-4
5.290e+2, 8.299e-4
5.300e+2, 8.263e-4
5.310e+2, 8.245e-4
5.320e+2, 8.220e-4
5.330e+2, 8.192e-4
5.340e+2, 8.161e-4
5.350e+2, 8.140e-4
5.360e+2, 8.123e-4
5.370e+2, 8.097e-4
5.380e+2, 8.063e-4
5.390e+2, 8.030e-4
5.400e+2, 8.020e-4
5.410e+2, 8.012e-4
5.420e+2, 7.978e-4
5.430e+2, 7.941e-4
5.440e+2, 7.928e-4
5.450e+2, 7.908e-4
5.460e+2, 7.885e-4
5.470e+2, 7.852e-4
5.480e+2, 7.832e-4
5.490e+2, 7.814e-4
5.500e+2, 7.793e-4
5.510e+2, 7.759e-4
5.520e+2, 7.743e-4
5.530e+2, 7.731e-4
5.540e+2, 7.700e-4
5.550e+2, 7.678e-4
5.560e+2, 7.641e-4
5.570e+2, 7.636e-4
5.580e+2, 7.618e-4
5.590e+2, 7.601e-4
5.600e+2, 7.568e-4
5.610e+2, 7.544e-4
5.620e+2, 7.529e-4
5.630e+2, 7.520e-4
5.640e+2, 7.488e-4
5.650e+2, 7.455e-4
5.660e+2, 7.446e-4
5.670e+2, 7.441e-4
5.680e+2, 7.409e-4
5.690e+2, 7.379e-4
5.700e+2, 7.365e-4
5.710e+2, 7.354e-4
5.720e+2, 7.329e-4
5.730e+2, 7.306e-4
5.740e+2, 7.281e-4
5.750e+2, 7.264e-4
5.760e+2, 7.245e-4
5.770e+2, 7.220e-4
5.780e+2, 7.192e-4
5.790e+2, 7.184e-4
5.800e+2, 7.175e-4
5.810e+2, 7.152e-4
5.820e+2, 7.116e-4
5.830e+2, 7.108e-4
5.840e+2, 7.090e-4
5.850e+2, 7.073e-4
5.860e+2, 7.045e-4
5.870e+2, 7.026e-4
5.880e+2, 7.010e-4
5.890e+2, 6.993e-4
5.900e+2, 6.977e-4
5.910e+2, 6.944e-4
5.920e+2, 6.943e-4
5.930e+2, 6.919e-4
5.940e+2, 6.900e-4
5.950e+2, 6.878e-4
5.960e+2, 6.858e-4
5.970e+2, 6.836e-4
5.980e+2, 6.822e-4
5.990e+2, 6.798e-4
6.000e+2, 6.785e-4
